time,x,y,yaw
1762758257.254846,0.012604,0.009075,0.000983
1762758257.294333,0.012943,0.009589,0.000987
1762758257.333528,0.013250,0.010239,0.001085
1762758257.370423,0.013953,0.008935,0.000829
1762758257.402275,0.012052,0.007738,0.000076
1762758257.444482,0.011568,0.008856,0.000233
1762758257.485411,0.011663,0.011542,0.000469
1762758257.526045,0.011356,0.010127,0.000536
1762758257.569342,0.013068,0.009661,0.001286
1762758257.596663,0.012971,0.010545,0.001421
1762758257.640141,0.012649,0.010853,0.001296
1762758257.687322,0.013893,0.010084,0.000797
1762758257.717402,0.013769,0.009879,0.000740
1762758257.751299,0.012759,0.009696,0.001167
1762758257.790525,0.013947,0.010656,0.001881
1762758257.851299,0.015695,0.009288,0.001232
1762758257.870605,0.013949,0.008823,0.000310
1762758257.906423,0.014904,0.007881,-0.000064
1762758257.940330,0.014923,0.007504,-0.000281
1762758257.979795,0.014514,0.009263,-0.000027
1762758258.024198,0.014164,0.009923,-0.000289
1762758258.078851,0.013267,0.011715,0.000169
1762758258.105799,0.014417,0.011295,0.000820
1762758258.157513,0.015194,0.009829,0.000500
1762758258.185436,0.016205,0.013300,0.001152
1762758258.225496,0.016222,0.012329,0.001239
1762758258.269011,0.014285,0.010366,0.000445
1762758258.297969,0.014589,0.011528,0.000402
1762758258.332736,0.013373,0.013674,-0.000172
1762758258.371379,0.012702,0.013244,0.000108
1762758258.404967,0.014554,0.013609,0.001127
1762758258.446058,0.014341,0.013034,0.001120
1762758258.485725,0.014793,0.014171,0.001314
1762758258.527540,0.015427,0.013089,0.001067
1762758258.565810,0.016112,0.013625,0.001308
1762758258.604365,0.016425,0.012563,0.001141
1762758258.641097,0.017827,0.014630,0.001626
1762758258.678263,0.018793,0.012539,0.001262
1762758258.714866,0.019206,0.015476,0.001616
1762758258.754055,0.020646,0.016233,0.001190
1762758258.812941,0.023448,0.017670,0.002213
1762758258.844547,0.023542,0.017286,0.002162
1762758258.872737,0.023403,0.019276,0.002155
1762758258.917700,0.023875,0.018340,0.001941
1762758258.956390,0.024619,0.018001,0.002332
1762758258.992008,0.024499,0.018705,0.002443
1762758259.043763,0.023911,0.017015,0.002178
1762758259.075022,0.022609,0.017985,0.002728
1762758259.104934,0.023625,0.020094,0.003403
1762758259.281296,0.025062,0.019308,0.002958
1762758259.298622,0.025498,0.020289,0.003200
1762758259.316714,0.023880,0.019724,0.003680
1762758259.331167,0.024185,0.021007,0.003766
1762758259.351748,0.025111,0.019701,0.003381
1762758259.431032,0.025225,0.019247,0.003370
1762758259.443143,0.023982,0.019079,0.003807
1762758259.463600,0.024328,0.019984,0.004029
1762758259.482111,0.024656,0.021006,0.003944
1762758259.498099,0.025351,0.021290,0.004188
1762758259.525650,0.025716,0.019666,0.004010
1762758259.564124,0.023787,0.022272,0.003307
1762758259.616378,0.024134,0.020130,0.003191
1762758259.655003,0.025327,0.021479,0.003651
1762758259.690199,0.026562,0.022062,0.003347
1762758259.745452,0.027568,0.019651,0.003719
1762758259.773477,0.025920,0.020037,0.004256
1762758259.802266,0.026100,0.021747,0.004571
1762758259.835030,0.027491,0.021065,0.004182
1762758259.883827,0.029656,0.022415,0.005113
1762758259.911255,0.030965,0.021782,0.004567
1762758259.951155,0.030591,0.022018,0.004513
1762758259.985644,0.030915,0.020909,0.004306
1762758260.023111,0.029920,0.022233,0.003916
1762758260.058833,0.031725,0.021841,0.003243
1762758260.094048,0.032126,0.022387,0.003443
1762758260.142657,0.031148,0.023295,0.003866
1762758260.175801,0.030930,0.023956,0.003824
1762758260.218039,0.031133,0.023809,0.003715
1762758260.244994,0.031624,0.024246,0.003955
1762758260.283548,0.031448,0.025109,0.004167
1762758260.315603,0.031808,0.025137,0.004269
1762758260.352225,0.030800,0.025599,0.004684
1762758260.401113,0.029919,0.027345,0.004276
1762758260.435404,0.030164,0.028003,0.004246
1762758260.467327,0.028668,0.029123,0.003611
1762758260.503803,0.028647,0.028921,0.003621
1762758260.550491,0.029954,0.030400,0.004154
1762758260.576454,0.028995,0.029254,0.004489
1762758260.628028,0.028160,0.027717,0.004067
1762758260.660825,0.028901,0.026803,0.003827
1762758260.709155,0.028552,0.027415,0.003571
1762758260.746505,0.027629,0.027829,0.003977
1762758260.783316,0.028664,0.029348,0.004462
1762758260.823850,0.028096,0.028678,0.004677
